Country,Lat,Lon,Capital City,Country_Code,Currency,Image_name,Image_URL,population,country_name
Afghanistan,34.28,69.11,Kabul,AFG,Afghanistan Afghani,Flag_of_Afghanistan.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,38041754,Afghanistan
Albania,41.18,19.49,Tirana,ALB,Albanian Lek,Flag_of_Albania.svg,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,2854191,Albania
Algeria,27.87,3.76,Alger,DZA,Algerian Dinar,Flag_of_Algeria.svg,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,43053054,Algeria
American Samoa,-14.27,-170.72,Fagatogo,ASM,US Dollar,,,55312,American Samoa
Andorra,42.5,1.52,Andorra la Vella,AND,Euro,Flag_of_Andorra.svg,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg,77142,Andorra
Angola,-12.126,17.785,Luanda,AGO,Angolan Kwanza,Flag_of_Angola.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,31825295,Angola
Antigua and Barbuda,17.638,-61.77,Saint John's,ATG,East Caribbean Dollar,Flag_of_Antigua_and_Barbuda.svg,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,97118,Antigua and Barbuda
Argentina,-34.922,-65.28,Buenos Aires,ARG,Argentine Peso,Flag_of_Argentina.svg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,44938712,Argentina
Armenia,40.27,44.49,Yerevan,ARM,Armenian Dram,Flag_of_Armenia.svg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,2957731,Armenia
Aruba,12.51,-69.98,Oranjestad,AW,Aruban Florin,,https://commons.wikimedia.org/w/index.php?search=aruba+flag&title=Special%3ASearch&go=Go&ns0=1&ns6=1&ns12=1&ns14=1&ns100=1&ns106=1#/media/File:Aruba_Flag.svg,106314,Aruba
Australia,-25.26,134.95,Canberra,AUS,Australian Dollar,Flag_of_Australia_%28converted%29.svg,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,25364307,Australia
Austria,47.63,14.22,Wien,AUT,Euro,Flag_of_Austria.svg,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,8877067,Austria
Azerbaijan,40.31,47.97,Baku,AZE,Azerbaijan New Manat,Flag_of_Azerbaijan.svg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,10023318,Azerbaijan
Bahamas,24.75,-77.99,Nassau,BHS,Bahamian Dollar,Flag_of_the_Bahamas.svg,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg,389482,"Bahamas, The"
Bahrain,26.05,50.53,al-Manama,BHR,Bahraini Dinar,Flag_of_Bahrain.svg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,1641172,Bahrain
Bangladesh,24.29,90.011,Dhaka,BGD,Bangladeshi Taka,Flag_of_Bangladesh.svg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,163046161,Bangladesh
Barbados,13.18,-59.55,Bridgetown,BRB,Barbados Dollar,Flag_of_Barbados.svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg,287025,Barbados
Belarus,53.3,28.01,Minsk,BLR,Belarussian Ruble,Flag_of_Belarus.svg,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,9466856,Belarus
Belgium,50.9,4.27,Bruxelles [Brussel],BEL,Euro,Flag_of_Belgium_%28civil%29.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,11484055,Belgium
Belize,17.59,-88.18,Belmopan,BLZ,Belize Dollar,Flag_of_Belize.svg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,390353,Belize
Benin,9.69,2.27,Porto-Novo,BEN,CFA Franc BCEAO,Flag_of_Benin.svg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,11801151,Benin
Bermuda,32.29,-64.79,Hamilton,BMU,Bermudian Dollar,,,63918,Bermuda
Bhutan,27.44,90.39,Thimphu,BTN,Bhutan Ngultrum,Flag_of_Bhutan.svg,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,763092,Bhutan
Bolivia,-16.59,-64.88,La Paz,BOL,Boliviano,Flag_of_Bolivia.svg,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,11513100,Bolivia
